english,french,inuktitut
A27,Z27,NA
A2W,Z2O,NA
AAV,VAM,NA
Abundance,Abondance,NA
Abyssal Skate,raie abyssale,NA
Age,Âge,NA
Age (years),Âge (années),NA
Age at maturity,Âge à maturité,NA
Age frequencies,Fréquences d'âge,NA
Age structures,Structure par âge,NA
Ageing codes,Codes de vieillissement,NA
Ageing precision,Précision de al détermination de l'âge,NA
Alaska Skate,raie de l’Alaska,NA
Albion Test Fishery,Pêche d’essai à Albion,NA
Aleutian Skate,raie aléoutienne,NA
and,et,NA
Apr,avr,NA
Area 2 West,Zone 2 ouest,NA
Area 27,Zone 27,NA
Arrowtooth Flounder,plie à grande bouche,NA
Aug,août,NA
Aurora Rockfish,sébaste aurore,NA
Average Annual Variability,Variabilité annuelle moyenne,NA
Average F,F moyen,NA
Average M,M moyen,NA
Average Proportion of ERI Attributed to Each Sector in Zone 1 Years,Proportion moyenne de l’ITE attribuée à chaque secteur dans les années de la zone 1,NA
Average Relative Change in ERI from 2009-2011 to Zone 1 Years,Changement relatif moyen de l’ITE de 2009­2011 dans les années de la zone 1,NA
Avg.,Moy.,NA
Avg. Weekly Return to Fraser,Remontée moyenne hebdomadaire au Fraser,NA
Basking Shark,requin-pèlerin,NA
Big Skate,raie biocellée,NA
Bigfin Eelpout,lycode à grandes nageoires,NA
Bigmouth Sculpin,hémitriptère à grande bouche,NA
Biological,Biologique,NA
Biomass,Biomasse,NA
Biomass estimate (kg/km^2),Estimation de la biomasse (kg/km2),NA
Biomass estimate divided by geometric mean,Estimation de la biomasse/moyenne géométrique,NA
Black Eelpout,lycode noire,NA
Black Rockfish,sébaste noir,NA
Blackbelly Eelpout,lycode à ventre noir,NA
Blackfin Sculpin,chabot à nageoires noires,NA
Blackgill Rockfish,sébaste blackgill,NA
Blacktail Snailfish,limace à queue noire,NA
Blue Shark,requin bleu,NA
Bluntnose Sixgill Shark,requin griset,NA
Bocaccio,sébaste bocace,NA
Bonaparte 2018 : PS Mort High,Bonaparte 2018 : Pic de mortal. avant le frai,NA
Bonaparte 2018 : PS Mort Low,Bonaparte 2018 : Creux de mortal. avant le frai,NA
Bottom trawl,Chalut de fond,NA
British Columbia,Colombie-Britannique,NA
Broad Skate,raie large,NA
Brood Year,Année d’éclosion,NA
Brown Cat Shark,holbiche brune,NA
BT,CF,NA
Buffalo Sculpin,chabot-bison,NA
Butter Sole,plie à écailles régulières,NA
by,par,NA
C-O Sole,C-O sole,NA
C O Sole,C O sole,NA
Cabezon,chabot marbré,NA
California Grenadier,grenadier de Californie,NA
Canadian marine,Pêches canadiennes en mer,NA
Canary Rockfish,sébaste canari,NA
Catch,Prise,NA
Catch rate (fish/effective skate),Taux de prise (poisson/raie réelle),NA
Cautious zone,Zone de prudence,NA
